study_id,experiment_id,citation_key,year,country,region,latitude,longitude,crop_group,crop_species,cultivar,cropping_system,soil_texture,soil_ph,soil_organic_matter_g_kg,soil_available_s_mg_kg,baseline_yield_t_ha,treatment_id,treatment_label,treatment_role,comparison_frame,s_rate_kg_ha,s_source,s_application_method,s_timing,co_n_kg_ha,co_p2o5_kg_ha,co_k2o_kg_ha,co_mg_kg_ha,co_zn_kg_ha,co_b_kg_ha,control_label,yield_t_ha,yield_sd,yield_se,yield_n,control_yield_t_ha,control_yield_sd,control_yield_se,control_n,design_type,risk_of_bias,notes,data_source
S001,E001,synthetic_wheat_2018,2018,China,Henan,34.7,113.6,cereal,wheat,,field,loam,7.8,15.8,7.5,5.8,T01,S 20,s_only,s_only_vs_absolute_control,20,gypsum,basal,jointing,0,0,0,0,0,0,no sulfur,6.25,0.34,,4,5.80,0.31,,4,randomized_block,low,synthetic demo,table
S001,E001,synthetic_wheat_2018,2018,China,Henan,34.7,113.6,cereal,wheat,,field,loam,7.8,15.8,7.5,5.8,T02,NPK+S 20,s_plus_npk,s_vs_no_s_same_background,20,gypsum,basal,jointing,180,90,90,0,0,0,NPK no sulfur,7.18,0.41,,4,6.62,0.38,,4,randomized_block,low,synthetic demo,table
S002,E002,synthetic_rapeseed_2019,2019,China,Hubei,30.6,114.3,oilseed,rapeseed,,field,clay_loam,6.4,22.1,4.2,2.6,T03,S 30,s_only,s_only_vs_absolute_control,30,elemental_s,basal,pre_sowing,0,0,0,0,0,0,no sulfur,2.92,0.20,,3,2.55,0.18,,3,randomized_block,low,synthetic demo,table
S002,E002,synthetic_rapeseed_2019,2019,China,Hubei,30.6,114.3,oilseed,rapeseed,,field,clay_loam,6.4,22.1,4.2,2.6,T04,NPK+S 30+B,s_plus_npk,s_vs_no_s_same_background,30,elemental_s,basal,pre_sowing,160,80,80,0,0,1,NPK+B no sulfur,3.28,0.24,,3,2.80,0.21,,3,randomized_block,low,synthetic demo,table
S003,E003,synthetic_maize_2020,2020,Brazil,Parana,-24.7,-51.9,cereal,maize,,field,sandy_loam,5.8,19.4,5.1,8.4,T05,S 15,s_only,s_only_vs_absolute_control,15,ammonium_sulfate,banding,planting,0,0,0,0,0,0,no sulfur,8.82,0.55,,4,8.40,0.50,,4,randomized_block,moderate,synthetic demo,table
S003,E003,synthetic_maize_2020,2020,Brazil,Parana,-24.7,-51.9,cereal,maize,,field,sandy_loam,5.8,19.4,5.1,8.4,T06,N+S 15,s_plus_n,s_vs_no_s_same_background,15,ammonium_sulfate,banding,planting,150,0,0,0,0,0,N no sulfur,9.68,0.62,,4,9.10,0.57,,4,randomized_block,moderate,synthetic demo,table
S004,E004,synthetic_soybean_2021,2021,USA,Iowa,42.0,-93.6,legume,soybean,,field,silt_loam,6.7,31.5,10.5,3.1,T07,S 25,s_only,s_only_vs_absolute_control,25,gypsum,broadcast,pre_sowing,0,0,0,0,0,0,no sulfur,3.33,0.18,,4,3.08,0.17,,4,randomized_block,low,synthetic demo,table
S004,E004,synthetic_soybean_2021,2021,USA,Iowa,42.0,-93.6,legume,soybean,,field,silt_loam,6.7,31.5,10.5,3.1,T08,P+K+S 25,s_plus_p,s_vs_no_s_same_background,25,gypsum,broadcast,pre_sowing,0,60,80,0,0,0,P+K no sulfur,3.58,0.22,,4,3.28,0.19,,4,randomized_block,low,synthetic demo,table
S005,E005,synthetic_onion_2022,2022,India,Maharashtra,19.8,75.7,vegetable,onion,,field,vertisol,7.3,12.3,6.4,22.0,T09,S 40,s_only,s_only_vs_absolute_control,40,bentonite_s,basal,transplanting,0,0,0,0,0,0,no sulfur,26.8,1.70,,3,22.0,1.42,,3,randomized_block,moderate,synthetic demo,table
S005,E005,synthetic_onion_2022,2022,India,Maharashtra,19.8,75.7,vegetable,onion,,field,vertisol,7.3,12.3,6.4,22.0,T10,NPK+S 40,s_plus_npk,s_vs_no_s_same_background,40,bentonite_s,basal,transplanting,100,50,80,0,0,0,NPK no sulfur,31.5,2.10,,3,27.1,1.82,,3,randomized_block,moderate,synthetic demo,table
S006,E006,synthetic_rice_2020,2020,Vietnam,Mekong,10.0,105.8,cereal,rice,,field,clay,5.3,25.0,9.2,6.6,T11,S 10,s_only,s_only_vs_absolute_control,10,ammonium_sulfate,topdress,tillering,0,0,0,0,0,0,no sulfur,6.82,0.36,,4,6.60,0.34,,4,randomized_block,low,synthetic demo,table
S006,E006,synthetic_rice_2020,2020,Vietnam,Mekong,10.0,105.8,cereal,rice,,field,clay,5.3,25.0,9.2,6.6,T12,N+S 10,s_plus_n,s_vs_no_s_same_background,10,ammonium_sulfate,topdress,tillering,120,0,0,0,0,0,N no sulfur,7.31,0.39,,4,7.05,0.37,,4,randomized_block,low,synthetic demo,table
S007,E007,synthetic_peanut_2023,2023,China,Shandong,36.7,118.5,legume,peanut,,field,sandy,6.2,11.5,5.9,3.8,T13,S 35,s_only,s_only_vs_absolute_control,35,gypsum,basal,pegging,0,0,0,0,0,0,no sulfur,4.28,0.27,,3,3.80,0.25,,3,randomized_block,low,synthetic demo,table
S007,E007,synthetic_peanut_2023,2023,China,Shandong,36.7,118.5,legume,peanut,,field,sandy,6.2,11.5,5.9,3.8,T14,Ca+S 35,s_plus_organic,s_vs_no_s_same_background,35,gypsum,basal,pegging,0,0,0,0,0,0,Ca no sulfur,4.62,0.32,,3,4.05,0.28,,3,randomized_block,low,synthetic demo,table
S008,E008,synthetic_cabbage_2024,2024,Germany,Saxony,51.1,13.7,vegetable,cabbage,,field,loam,6.9,28.0,14.0,48.0,T15,S 50,s_only,s_only_vs_absolute_control,50,potassium_sulfate,basal,pre_sowing,0,0,0,0,0,0,no sulfur,55.2,3.20,,4,48.0,2.90,,4,randomized_block,low,synthetic demo,table
S008,E008,synthetic_cabbage_2024,2024,Germany,Saxony,51.1,13.7,vegetable,cabbage,,field,loam,6.9,28.0,14.0,48.0,T16,K+S 50,s_plus_k,s_vs_no_s_same_background,50,potassium_sulfate,basal,pre_sowing,0,0,120,0,0,0,K no sulfur,58.4,3.60,,4,52.1,3.10,,4,randomized_block,low,synthetic demo,table

